x,y,z,xt,yt,zt
0.913579, 0.007121, -1.139155, , , 
0.930648, -0.018660, -1.131887, , , 
0.555192, 0.152170, -0.982922, , , 
1.204489, -0.063650, -1.032836, , , 
0.843451, 0.024082, -1.102237, , , 
0.471245, -0.058923, -1.079790, , , 
1.209713, -0.066391, -1.029939, , , 
0.092198, -0.040908, -1.218495, , , 
1.045263, 0.255929, -0.945997, , , 
0.482510, -0.195447, -1.216290, , , 
1.080419, 0.064291, -1.046968, , , 
0.330273, -0.290489, -1.404233, , , 
0.346087, -0.064029, -1.150272, , , 
0.494774, -0.156855, -1.030664, , , 
0.471858, 0.021029, -1.141160, , , 
1.760998, -0.976586, -1.973484, , , 
1.141399, 0.162674, -1.042310, , , 
0.573410, 0.197425, -1.006809, , , 
0.301047, 0.045004, -0.946732, , , 
0.863826, -0.104303, -1.254864, , , 
1.386711, -0.747081, -1.510023, , , 
1.280670, 0.207083, -1.002526, , , 
0.759081, -0.017272, -1.283624, , , 
1.721569, -0.948746, -1.913760, , , 
0.308984, -0.009749, -0.918138, , , 
1.321427, 0.030596, -1.048191, , , 
0.632779, 0.124219, -0.880168, , , 
0.214473, -0.454963, -1.576617, , , 
1.123010, -0.074570, -1.016630, , , 
1.335812, 0.029277, -1.069908, , , 
1.174269, 0.164462, -1.097313, , , 
0.286632, 0.050735, -0.947083, , , 
1.180779, -0.061321, -0.982037, , , 
1.314338, 0.031417, -1.041192, , , 
1.316783, 0.031580, -1.044451, , , 
1.127844, -0.076620, -1.025678, , , 
0.775015, -0.109462, -1.316658, , , 
0.446822, -0.129240, -1.127951, , , 
0.605022, -0.096404, -1.164380, , , 
1.096811, 0.073681, -1.095896, , , 
1.096091, 0.070933, -1.082634, , , 
0.382557, -0.327037, -1.385687, , , 
1.029153, 0.249110, -0.915224, , , 
0.191405, -0.182234, -1.226477, , , 
1.331322, 0.134736, -1.093435, , , 
1.169316, -0.083029, -1.114227, , , 
0.653420, 0.131342, -0.992755, , , 
1.340485, 0.027883, -1.077535, , , 
1.213630, 0.330813, -0.846472, , , 
0.584719, -0.594651, -1.196755, , , 
1.147282, 0.301622, -0.760166, , , 
1.020687, 0.243729, -0.896521, , , 
0.477376, -0.009342, -1.135101, , , 
0.426369, -0.156104, -1.300802, , , 
1.173992, -0.272146, -0.728787, , , 
1.294618, 0.071958, -1.033218, , , 
1.552729, 0.147650, -0.887329, , , 
0.486183, -0.005436, -1.082010, , , 
0.498238, -0.152412, -1.041094, , , 
0.503200, -0.139746, -0.975294, , , 
1.591532, 0.153033, -0.924339, , , 
0.590405, -0.102543, -1.183584, , , 
1.153162, -0.150687, -0.984232, , , 
1.048895, -0.081816, -1.191244, , , 
1.492592, 0.121159, -1.044069, , , 
0.593559, 0.172183, -0.967927, , , 
1.565538, 0.151230, -0.899399, , , 
0.911475, -0.004402, -1.427466, , , 
0.562593, 0.029225, -1.147748, , , 
0.844521, 0.118151, -0.994751, , , 
1.164885, -0.266492, -0.714749, , , 
1.178031, -0.058490, -0.982956, , , 
1.042803, 0.322872, -0.902126, , , 
0.777671, -0.101009, -1.252491, , , 
1.360440, 0.071772, -0.929306, , , 
0.777304, -0.102595, -1.270146, , , 
1.115561, -0.140265, -0.910503, , , 
0.613635, 0.134570, -0.997632, , , 
1.586691, 0.155738, -0.921024, , , 
0.882367, 0.003493, -1.421865, , , 
0.905513, 0.202683, -0.950313, , , 
1.510762, 0.136040, -1.008747, , , 
1.486344, 0.123419, -1.045073, , , 
1.139341, -0.148966, -0.959994, , , 
1.148399, 0.146188, -0.975022, , , 
1.433005, 0.288293, -0.950389, , , 
